ModuleName,Count
Kusto,135
MySql,134
ImageBuilder,48
ElasticSan,47
GuestConfiguration,22
LogicApp,52
Ssh,0
ContainerInstance,71
ApiManagement,139
ImportExport,8
FrontDoor,35
CloudService,71
Websites,218
OperationalInsights,69
CustomLocation,26
RedisEnterpriseCache,64
Security,73
Resources,358
Quota,25
HPCCache,14
Network,790
DeploymentManager,24
PolicyInsights,10
App,106
DevTestLabs,11
DeviceUpdate,35
StreamAnalytics,92
PowerBIEmbedded,14
EventGrid,20
Batch,75
NetAppFiles,57
Advisor,34
CustomProviders,8
ContainerRegistry,31
TrafficManager,22
Search,18
KubernetesConfiguration,61
MachineLearningServices,297
DiskPool,50
Marketplace,51
ServiceLinker,96
RedisCache,22
RecoveryServices,118
Accounts,43
HealthcareApis,83
Portal,6
SpringCloud,175
CostManagement,39
MarketplaceOrdering,24
Communication,28
Peering,34
MariaDb,20
ProviderHub,76
Logz,69
DataProtection,99
HealthBot,5
ConnectedKubernetes,28
DataLakeStore,44
StorageMover,70
SignalR,66
EventHub,177
CosmosDB,135
DataBoxEdge,39
ManagedServices,38
DnsResolver,64
DynatraceObservability,47
StorageSync,22
Aks,48
Functions,100
Automanage,46
Cdn,370
Billing,17
VMware,145
Migrate,107
SqlVirtualMachine,14
Subscription,5
ServiceFabric,60
DeviceProvisioningServices,28
Elastic,37
DataFactory,83
PostgreSql,121
DigitalTwins,11
BotService,32
WindowsIotServices,5
TimeSeriesInsights,17
ApplicationInsights,87
DataShare,37
Datadog,44
Relay,21
FluidRelay,28
NetworkFunction,40
Databricks,45
ConfidentialLedger,30
Media,10
Maps,27
Support,9
lib,0
MixedReality,10
DesktopVirtualization,92
ConnectedMachine,42
StackHCI,60
Synapse,290
Confluent,24
KeyVault,77
ManagementPartner,5
Orbital,47
IotCentral,5
IotHub,75
NotificationHubs,22
DataMigration,113
Reservations,50
ServiceBus,181
PrivateDns,16
ConnectedNetwork,80
DevSpaces,5
CognitiveServices,25
MachineLearning,16
Dashboard,25
DedicatedHsm,22
Storage,167
ManagedServiceIdentity,32
Maintenance,12
ResourceGraph,6
AppConfiguration,48
LabServices,118
DataLakeAnalytics,32
Dns,12
Nginx,44
Compute,281
SecurityInsights,177
Purview,460
MonitoringSolutions,5
ChangeAnalysis,14
EdgeOrder,58
Sql,283
ResourceMover,38
Attestation,37
HanaOnAzure,8
AlertsManagement,12
HDInsight,49
shared,0
AnalysisServices,14
BareMetal,16
DataBox,51
ADDomainServices,28
Monitor,204
Automation,89
Blueprint,14
